file,outcome,sensor,model,f1_score_constant,f1_score_decline,f1_score_improvement,f1_score_weighted,f1_score_unweighted,time_series_length (days),count_constant,count_decline,count_improvement,oversampled,AUC_score,variable,,,,,,,,,
sleep_ts_feel_norm,feel,sleep,MUSE,0.941176471,0,0,0.836601307,0.31372549,7,95,3,8,1,0.895833333,tossnturn_count,,,,,,,,,
electricity_nutrition_ts_resp,resp,electricity,MUSE,0.947368421,0,0.941176471,0.908382066,0.629514964,4,34,2,69,0,0.892156863,e_consumption,,,,,,,,,
sleep_ts_feel,feel,sleep,MrSEQL,0.648648649,0.285714286,0.333333333,0.613164185,0.422565423,6,100,4,8,1,0.82,min_hr,,,0,1,,,,,
electricity_nutrition_ts_feel_norm,feel,electricity,iTDE,0.84,0.333333333,0.5,0.776458333,0.557777778,1,102,7,18,1,0.527777778,e_consumption,,,1,0,,,,,
electricity_living_ts_resp,resp,electricity,MUSE,0.761904762,0.915254237,0.915254237,0.873083132,0.8385795,2,46,4,110,0,0,e_consumption,,,,,,,,,
sleep_ts_feel_norm,feel,sleep,TSF,0.941176471,0,0,0.836601307,0.31372549,7,95,3,8,1,0.885416667,hrv_hf,,,,,,,,,
electricity_nutrition_ts_resp_norm,resp,electricity,ROCKET,0.75,0.916666667,0.916666667,0.875,0.833333333,1,37,5,84,1,0,e_consumption,,,,,,,,,
electricity_living_ts_resp,resp,electricity,TSF,0.666666667,0,0.918032787,0.845665337,0.528233151,3,44,3,101,0,0.882594417,e_consumption,,,,,,,,,
sleep_ts_feel_norm,feel,sleep,MUSE,0.897959184,0,0,0.798185941,0.299319728,7,95,3,8,0,0.881944444,duration_sleep_onset,,,,,,,,,
electricity_living_ts_resp,resp,electricity,MrSEQL,0.769230769,0,0.87804878,0.813817459,0.549093183,4,42,2,92,0,0.880952381,e_consumption,,,,,,,,,
electricity_living_ts_resp_norm,resp,electricity,MUSE,0.727272727,0,0.84,0.758034398,0.522424242,3,44,3,101,0,0.879227053,e_consumption,,,,,,,,,
